input1,output1
[9243 1215 5425 5634 4841 1682 9139 4827],13984
[1377 7092 6416 2727 1338 569 5214],8229
[1852 7780 7175 2747 6481],8666
[4539 6377 8221 2793],7301
[8443 3596 6565 988 4414 8916 4966 6740 1732 6102 5948 5644 8889 9406 7434 8424 3721 9490 3096],38128
[7399 4306 2796],4827
[895 9920 2871 6464 1670],7261
[8821 9140 2328 2059 5886 3561 5182 9001 8332 6125 6356 8539 3730 482 9210],29549
[6532],2175
[6476 9261],5241
[6883 6016 513 6463 409],6750
[3050],1014
[2745],913
[3706 8586 397 1421 1983 7850 4377 8716 920 2914 1180 8669],16878
[8950 958 527 8782 4496 3563 4506 2354 1393 1586 8794 2024 5697 833 6130],20161
[1519 5011 7471 7508 5476],8983
[4351 9421 2251 7531 5148 9739 5826 1160],15124
[4629 2466 563 5285],4305
[2418 2410 5448 3202],4484
[759 3825 2001 2986 4211 6310 4012 5423 6300 4778 5024 4334],16626
[172 8994 7447 1845 6293 1848 2632 3970 2098 22 2086 904 5900 980 2921 4556 3523 8024 3231],22437
[4039 4443],2823
[8765 5921 2510 2843 4674 2719 7687],11689
[3240 6447 3719 9528 8561],10487
[7332 6141 5135 6097],8226
[9015 5744],4915
[8644 3308 2676 2362],5654
[9046 2683 8036],6581
[3984 7259 8864 3084 5044 3393 7103 7943 141 8233],18326
[3540 1301 9443 3481 4351 3967 1326 8211 4207 6817 3097 8835 7128],21872
[7392 1648 5191 5116 3954 1213 881 6329 9021],13561
[7354 6589 3971 9538 8255 6451 6311 6729 2790 1543 8421 4068],23979
[9729 3562 9683 814 2569 1474 3724 7611 4140 7561 2290 4700 9836 8804],25466
[3045 9531 2716 4753 8473 5500 9202 8874 7313 1772 262 178 4535],22021
[4671 5387 9927 7883],9280
[2346 9769 7010 6203 952 4018 8832 8416 1841 9495 1048 4193 8251 6647 4178 1367 5693 2622],30917
[8627 5048 5266 6555 3572 611 2755 6259 5939 5334 9646 3660 8559 7268 5824 3298],29369
[490 6257 3435 1182 615 2415 5573 6404 3230 717 4848 1930 1149 35 3710 3969 1662],15835
[3390 3319 490 1886 1000 2257 3976 8388],8217
[6031 6975],4331
[5711 5688 2716],4698
[5052 7922 1201 6474 7537 4432],10859
[3554 3528 3805 694 2906 7578 3688],8568
[4215],1403
[2851 7743 7985 5825 4186 2249 1691 8237 8357 2269 2200 6962 5139 1998 453],22679
[6811 7500],4766
[5116 2668 6994 8047 4444 5754 7203 348 1998 9982 1423 9777 5777],23148
[1771 5286 7789 3002],5940
[6196 1320 6349 5728 3036 849 3784 2176 3005 7702 9248 7212],18841
[3159],1051
[9180],3058
[1842 1041 8519 5073 1787 4337 3373 1227 568 8333 6755 7662 7391],19272
[220 4348 1556 1543 5675 4469],5922
[883 7398 5520 8815 4959 6590 2265],12128
[8167 5909 3358 4186 9958 7606 5151 4917 6555],18582
[8028 9630 2146 9637 7198 7461 8381 3278 3771 6912 9964 4346 8396 8705 3913 2801 3955],36134
[4417],1470
[8413 3370 7861 139 4065 1877],8561
[1585 4687 1081 4241],3855
[1076 9808],3623
[8077 437 5952 533 9023 3966 3177 7754 3628 1396 5262],16376
[4718],1570
[6480 6438 7044 4339 348],8206
[1873 1415],1091
[6430 2460 3847 9023],7244
[8132 3528 8697 8555 2980 2744 1543],12043
[5707 6722 5935 8289 8996 3915 7282 7046 418 4716],19652
[9855 220 3124 7270 2951 5895 4470 2223 4676 5945 763 5679 2627 3759 5143],21499
[9829 3362 5122 8249 8322],11616
[2534],842
[8681 2044],3570
[8370 7486 5918],7251
[9446 5762 8492 7038 4282 5340 5025 7115 3587 1514 8348 1244],22368
[2129 6260 8427 8142 7553 2802 5410 2313 7697 6176 5319 8395 7676 5947 974 1785 8311],31732
[5195 2835 3181 3064],4749
[7401 4765 2992],5046
[6331 6666 7915 2757],7881
[3403 3355 6214 9663 1373 1753 3664 9449 3092 1352 584 8034 4764 5128 4797 4977],23830
[3678 1695],1787
[4410 2530 6367 1395 4640 4951 8429 2518 305 848 7217 9121 1500],18046
[4813 5292 8530],6205
[3298 1848 9394 9360 5784 1004 8644 4196 5949 9739 4315 1456 285 9407 7926 6045],29514
[8264 1174 4220],4545
[233 3257 4240 9021 3136 4730 1716 2100 72 6482 9846 4742 4179],17888
[3833 1128 1541 2175 9609],6084
[9145 7218 1619 5429 7265],10213
