input1,output1
[831 -901 843 513 531 905 -747 -9 -179 207 979 443 869 -383 -459 319 -987 951 -797 135 -171 -309 915 -503 -591 -783 945 -653 -305 811 983 -609 95 -101 725 -671 977 -581 141 313],40
[41 -671 353 -629 873 597 297 -625 551 317 -315 -745 -819 -105 885],15
[663 387 -821 -718 766 -823 459 758 610 -195 -485 325 993 -958 268 -107 629 932 -662 289 -703 -20 129 247 941 -106 -771 -878 861 -848 323 339],20
[164 594 -234 -526 -856],0
[-974 652 -882 -984 742 -98 -990 -53 563 -764 814 505 188 -759 524 278 -494 154 86],4
[-281 177 655 407 525 175 993 483 861],9
[-245 -881 -967 121 17 335 455 -527 235 735 -651 559 247],13
[343 501 -375 -841 263 895 -637 -865 -523 115 893 -843 399 715 -293 -743 431 -709 -443 -861 -447 -181 641 473 615 -859 -429 95 403 869 961],31
[576 440 -598 -792 624 -388 412 476 -452 -728 616 -522 276 984 490 570 692 414 -638 -760 858 -714 374 154 -860 -810 650 594 322 -576 642 290 -762 792 276 970 -322 -432 -14 -352],0
[255 -754 604 142 -761 -95 388 -790 -803 -158 -936 -798 820 376 -340 338 -246 -785 519 476 -600 73 872 742 -798 867 488 -654 62 -264 -332 43 252 -507 -382 -880],10
[-760 -121 -842 -304 548 198 415 247 400 922 483 -558 -814 658 -758 560 622 -260 -460 -14 -694 -661 836 210 -142 -92 -8 -60 530 -742 74 190 24 -10 -756 534 -306 680 -919 -878 -882 -390 -893 932],7
