input1,input2,output1,output2
[-9295 418 6179],-3116,-9295,6179
[3621 -7427 -2632 35],-7392,-7427,35
[9561 2044 2864 -5691],3870,9561,-5691
[-8982 -7425 -4668 4435 -9202 -5592 2241 -6929 5023 831 -3192 -649 9028],-14354,-7425,-6929
[9509 -3869 -6932],5640,9509,-3869
[5380 3842 -5656 -2333 -2665 7816 9221 7725 9474 9764 -6407],5483,-2333,7816
[2990 1836 -3499 6215 -9885 3941 -2161 9920],35,-9885,9920
[1490 -8186 -2795 -2964 -8586],-11381,-2795,-8586
[2414 4778 -3342 -1228 7540],-928,2414,-3342
[-6156 11 -1592 5634 2626],4042,-1592,5634
[4502 -8754 -3965 487 -1396 5378 325 -9843 -9868 -4499 -2176 -7746],-9518,325,-9843
[-2109 -3519 -8405 9322 -3494 6808 9162],5828,9322,-3494
[-7721 7742 -8567 4725 3712],-4855,-8567,3712
[-6073 -2268 -2499 -6329 -5255 3188 9625 -3607 2858 -6765],3552,-6073,9625
[131 6754 8603 -4658 3516 -738 -1396 -8720 -1377 -2078 4434 -9413],-5396,-4658,-738
[-9659 -5606 7539 1164 6601 -5691 8182 -2276 1246 -3576 -6196 5518 -8906 -7196 -1294 6739 -1913 6342 -2151],-11297,-5606,-5691
[-4088 4588],500,-4088,4588
[7858 -1904 824 150 -2072],-1754,-1904,150
[-8745 -4361 -736 2357 8747 5791 9306 -6815],-15560,-8745,-6815
[3797 159 2059 -6816 -18 6648 5270 2303 418 4697 -2698 -145 9125 5498 9293],10445,3797,6648
[-9444 2757 -3393 -6211 1175 8959 -3201 5877 2011 4169 8883 -1944 -2675 -3229 -6712 -4438],14760,5877,8883
[5269 5328 -8153 -9556 -3177 -29 2473],-704,-3177,2473
[-2624 -1918 1956],38,-1918,1956
[4818 1928 9411 -5671 -4999 4892 -6030 205 9607 4642 5672 1917 2632],12043,9411,2632
[-2496 1799 -7615 2513 8713 9088 8934 4719 -336 7558 2609 -476 7363 -2884 -8171 -5884 -5681],-808,7363,-8171
[-293 -143 -1429 1435 1034],6,-1429,1435
[-5025 2456 6025 4988 929 5928 6455 1230 -5768 -4859 6217 -1118 1657 4007 -7051 -7235 4395],257,6025,-5768
[-9072 -6165 998 -3761],-2763,998,-3761
[634 -205 3923 5848 7291],6482,634,5848
[6403 -5362 -8795 5280 -2629],2651,5280,-2629
[-8139 1245 5962 -6695 -8055 767 9032 797 7783 5035 -5671 -7246 3382 4016 -881 4609 -9864 -4092 -6264 4487],-6479,767,-7246
[3055 7705 6976],14681,7705,6976
[-3110 -5856 7004 472 7207 914 8360 -7879 259 -2468],8832,472,8360
[6543 -4761 -3313 -9732 2975 -9797 6880 5374 4681 -9699 5543 9888 3779 6250 7935 4862 2696],156,-9732,9888
[6902 -2857 6238 -5566],1336,6902,-5566
[-8089 3682 7839 -1013 390],-623,-1013,390
[3724 -3989 6944 -277 777],10668,3724,6944
[4421 213 -1837 -6039 2324 -1998 -2731 -8228 2482 5671],-8015,213,-8228
[-9166 -3017 3120 8783 -5335 8092 -6974 -5934 126 8192 5356 -7686 5032],-10703,-3017,-7686
[7642 8050 7910 -9847 -1115 5615 2599 -248 9981],-2205,7642,-9847
[733 329 3687 -5123],4016,329,3687
[-6528 7563 -303 -1629 5182 9181 6352 -2085 -7299 -2544 -6543 5617 -2242 4492],1020,7563,-6543
[1209 4204 -6615 -3252 149 263 -4213 5074 9955 -9265 6712 4740 5111 8429 9692 2008 -4383 5388 -5104 7324],357,4740,-4383
[2632 352 8955 1135 -3045],-1910,1135,-3045
[375 6078 8237 -6686 7027 -8794 -8795 8731 3975 -2551 5556 -7782 8947 -7264 -3434 1796],-4890,-6686,1796
[1044 9967 -8176 -4710],1791,9967,-8176
[-7538 -8370 1102 7474 3791 7585 4754 -3796 -5821 3266 -821 7762 -8873],-3747,-7538,3791
[-1042 -956 -2711 3607 -7729],-3753,-1042,-2711
[-2972 9208 -3979 7953 -3574 -7096 -6804 -8326 2177 247 -7437],9455,9208,247
[122 6860 7385 -6735 1516 -5018 9835 3319 -955],-1699,-5018,3319
[-3774 3928 7776 1309 2468],154,-3774,3928
[-2892 668 3367 -7136 4850],1958,-2892,4850
[2058 9073 2928 -1794 7251 -6448 -2465 8007 4249 21 -200 1932 6588 -3614 -808 6169 -1092 8068],4375,-1794,6169
[-3228 -6120 -9874 6362 9172 9209 -2296 -9147 9851 -7308 -2526],6623,-3228,9851
[6444 5389 -3011 -2725 -4994 -5365 2521],-5736,-3011,-2725
[-5058 3438 -9296 -7390],-3952,3438,-7390
[5023 -732 -220 7064 9964 8556 6426 -6658 8746 7026 2354 1446 1063 -8428 4335 2057 6133],5401,-732,6133
[-5287 -2134 3948 2206],-1339,-5287,3948
[4443 6350 -5420 -7998 8916],-1648,6350,-7998
[-3338 9094 5759 -7909],5756,-3338,9094
[-6698 -3211 9960 -3107 8626],1928,-6698,8626
[-6540 -8904 442 -524 5512 -7471 4546 -4047 -7518 8163 9006 8944 -4555 -3265 5361 7832 5632 -2725],-14011,-6540,-7471
[8899 -9373 -3898 -5874 -6813 -231 8597 -7364 1800 1522 2738 -8022],-14177,-6813,-7364
[-7881 -1256 9215 8259 -8995 -8378 5228 4732 -9486 -3665 5089 -3107 9697 7840 -3663 -2126 -3299 1210 -9892 7375],13487,8259,5228
[-769 3049 3823 3752 -6195 9794 7217 -8978 -4297 2720 -920 -579 9384 -6585 -7163 6581 -691 5620 -6441],7575,3823,3752
[-481 5322 -2508],2814,5322,-2508
[-2961 -5840 566 -3939 -814 4771 9169 -4783 -8768 -2709 4061 2032 4836],-7492,-4783,-2709
[3155 6723 7462 6043 588 -1643 4114 6756 -8389],10870,4114,6756
[-6261 -2841 -4466],-10727,-6261,-4466
[-8588 3447],-5141,-8588,3447
[-3286 8494],5208,-3286,8494
[7328 218 -396 -453 -5764],-6217,-453,-5764
[-8377 -2080 -8713 1716 3549 1998 -3763 -3233 1439 7591 8519],-11610,-8377,-3233
[5690 -5853 5745],11435,5690,5745
[9310 599 -1613 7734 -5418 -9844 -7731 -8015 -1531 -5672 -5098 -7155 -5481 -3898 -4715 8423 -344 867],-13687,-8015,-5672
[5648 224 6272 747 -5642 7404 -3403 -5657 1707 -5292 2695 -2700 2476 4052 7854 -9657 7850 -725 -8879],-7950,1707,-9657
[-8484 -5852 -7205 8395 774 -2183 -2316 9987 -6366 -9148 -2732 7490 5921 -5503 6780],-1658,-9148,7490
[-9625 -6500 2318 396 2772 -8485 -8917 -9774 -7625 4672 -611],7444,2772,4672
[4118 6129 7766 5508 3087 8027 -9446 4708],-5328,4118,-9446
[2062 7006 4298 -97 -7639 9037 1232 9580 2187],8940,-97,9037
[-5679 2315 4494 3923 2245 7865 3043 4340 -2178 6692 7903 153 -5531 8781 -1109],15473,6692,8781
[5310 -7646 4393 3830 8570],13880,5310,8570
[-7069 1317 1331 -8728 -9226 -9479 -8214 8377 -4338 -7311 283 354 -3834 -4908],-17693,-9479,-8214
[4844 -826 5432 9616 -589 5754 9108 2662 -7557 -9544 8996 -6823 -2839],14750,5754,8996
[2023 -8436 -8375 -218 -6752 -1993 -6609],-6352,2023,-8375
[4410 -442 4769 -2586],4327,-442,4769
[-3945 1608 3853 4564 6798 6733 3121 1799 -5208 1903],6467,4564,1903
[2723 -6913 1419 6106 7974],-5494,-6913,1419
[-5182 -4474 -4713 -5679 -2965 -5176 -9525 -995 -6879 7930 4390 8858 -261 9418 1996 1641 -7272],-7439,-4474,-2965
[-286 -9785 -4691 -4231],-8922,-4691,-4231
[-6333 9936 4230 9174],2841,-6333,9174
[-1198 2317 -9071 7169 3504 3959 -3859 -9799 -7235 3379 -2082],10548,7169,3379
[-5360 6497 -2261 -6386 -9279 -6243 -3464 -4377 -6876 -5928 -755 7072 -6394 1047 139],-10771,-4377,-6394
[-3442 9144 9135 -2487],5702,-3442,9144
[-4143 2016 6044 9345 -8165 7029],1901,-4143,6044
[9621 -4739 -2851 9087 -1060 248 -1324 -4364 5358 2737 2392 9259 -5891],7750,5358,2392
[2956 7489 3194 -993 411 -5467],7900,7489,411
[-6272 -2192 -7213 -3989 6182 6282 626 8157 4369 7067 -115 3074 -8910],2193,-3989,6182
[-4983 -8003 -1263 2579 8360 531 -268 -101 -9347 -1857 -7675 6494 2527 -3140 339 1501],6833,6494,339
[-478 -4328 -3293 -3964 5972 -7311 6934 4594 -2869 -70 373 3302 -798 -7177 -5906 -8667 2815],-6938,-7311,373
[2717 522 -8199 6616],-5482,2717,-8199
[-5021 -162 3900 1471 -5938 8679 40],3738,-162,3900
[-6863 -10 -6570 7068 -7802 5500 -332 -7625 8878 8724 -9201 -8863],-1795,7068,-8863
[7812 -1855],5957,7812,-1855
[1292 3796 3040 -6031],5088,1292,3796
[-3942 4307 -6971 8057 9004 9870],365,-3942,4307
[5639 8179 5084 9341 -8477 4638 -6877 -2805 8199 1525 -4655 -5247],-7460,-2805,-4655
[8928 -4866 -1583 6856 -4849 -8631 -6759 -2956 -4615 5652 -8143 -1718 -7249],4062,8928,-4866
[9750 -1780 1536 3981 8740 -5399 8758 1766 -7785 3088 1727 3967 -7350 1176 9976 -5463 4323 7959 -9672],12838,9750,3088
[-4011 -9391 3057 561],3618,3057,561
[-518 9192 -7685 7459 6788 5280 1051 -6732 -2211 4460 -1401 4032 -1176],-1160,1051,-2211
[-8699 209 5163 -7273 -6623 -9683 -4656 8277 -3916 5724 -470 7747 -9030 -864 -9164 -1501 -9377 -3224 8691],-13686,-4656,-9030
[8931 -3838 1340 -7971 797 3305],-2498,-3838,1340
[5281 -2612 5158],10439,5281,5158
[-4463 -166 -3759 -3306 124 -5610 3459 3161 7018 4346],587,-3759,4346
[-6934 3232 5077 5246 3731 6705 3099 -9699 -4443 4661 -4725 -8404 2026 -7560],8392,3731,4661
[8126 2722],10848,8126,2722
[-9392 -1880 4903 -7509],3023,-1880,4903
[-4404 5230 -5488 -9608 4906 4938 5899 891 3871 -3675 3120 -6890],-991,5899,-6890
[-2937 -8141 7603 5850 9444],-11078,-2937,-8141
[-5134 -1687 -685 5424 -6796 -7663 -363 6576 7451 7437 -2804],4633,7437,-2804
[3105 3434 -4604 182 -6250 5615 -9651 9002],-6068,182,-6250
[-2362 -4384 4369 -9878],2007,-2362,4369
[-6938 -1915 -8137 -9145 1396 1971 383 -5177 -9625 2030 -5716],-9242,383,-9625
[8959 4502 9987 2764 8684],18671,9987,8684
[-8390 4666 9219 -4979],-313,4666,-4979
[-6556 -1814 -4363 -4816 -9293 2777 1819 -6945 -4871 5304 -7045],-6177,-1814,-4363
[7506 4983 -2688 -4106 8425 -7119 6393 -2249 -8052 9286 7064 -8674 -6287],-16726,-8052,-8674
[-9080 1917 4862 5946 -8703 6533 -580 -3664 -5850 -3268 4463 6681 -2384 -6794],-12348,-9080,-3268
[64 2014 -7057 1573 2624 -1740 -8205 -4091 3253 2916 4084 2685 3065 4048 -3511 -4358 5459 2889 2223],-4121,-8205,4084
[-8708 8050 5518 -182],5336,5518,-182
[6686 9070 -3052 -4561 4684],15756,6686,9070
[1114 8153 -7615 8858 5287 221 5016 -7522 -2249 -726],5237,221,5016
[6729 -1975 6433 -6596 6774],-163,6433,-6596
[9030 60 4142 -5546],4202,60,4142
[349 -8593 -6431 2402],-6082,349,-6431
[7744 99 -941 8099],7158,-941,8099
[660 1485 -1021 3706 -8713],-361,660,-1021
[-1370 4426 -1677 8360 -5152],-6522,-1370,-5152
[7519 -4299 -1169],6350,7519,-1169
[-4622 -2973 4159 -9106 190 -5643 -1370 904 -4792 -1007 -4328 8115 6120 251 5999 -1139],-888,251,-1139
[820 -3023 1673 574 8778 385 9164],10837,1673,9164
[-8800 -1994 8804 3511],-5289,-8800,3511
[3459 -1919 -5855 5798 -5724],3879,-1919,5798
[-383 -2216 4714 -3103 -233],-5319,-2216,-3103
[9606 8143 5945 -6330 5620 5607 -465 -1301 -727 7128 9165 7150 3897 1373 7448 6585 981 659 4840],11425,6585,4840
[3367 -4934 -2565 8068 5670 -6627 -3358 -2191 6730 -8285 6834 -5511 -2452],4165,-2565,6730
[9103 -143 690 3924],4614,690,3924
[1348 -1569 -7270 9562 -1962 -614 -1249 4482 7809 -2509 -3221 -4315 -8911 -6897 -8878],-4429,4482,-8911
[6670 -1251 3437 7319],6068,-1251,7319
[9212 69 4237 -6542 7781],4306,69,4237
[5312 -914 -7983 -9456 -6725 2543 1091 -6641 9990 8437 801 2282 50 -1818],-16097,-9456,-6641
[-7983 3800 1101 7797 5868 -6332 -1947 8619 3113 -5396 2493 -4452 7945 1583 1195 3761 -8497 9261 1087 6276],6672,-1947,8619
[-3665 5123 2440 -1250 340 5190],5530,340,5190
[1168 8190 4674 -7154 -6898 1455 -8361 -5336 2682 -2599 6732],-422,-7154,6732
